x;y;v;theta;t
1404.64;1644.04;9.09956;-0.23563;596
1408.12;1635.86;8.88771;-1.16869;597
1411.68;1627.49;9.09932;-1.16869;598
1415.3;1618.97;9.25473;-1.16869;599
1419.04;1610.18;9.56134;-1.16869;600
1428.61;1608.1;9.785;-0.213321;601
1437.98;1606.07;9.58576;-0.213321;602
1447.13;1604.09;9.36629;-0.213321;603
1456.64;1602.03;9.72748;-0.213321;604
1465.83;1600.04;9.40728;-0.213321;605
1474.98;1598.06;9.36627;-0.213321;606
1484.48;1596;9.71719;-0.213321;607
1494.41;1593.85;10.156;-0.213321;608
1504.43;1591.68;10.2504;-0.213321;609
1514.15;1589.57;9.95311;-0.213321;610
1523.32;1586.49;9.66877;-0.32464;611
1529.8;1578.84;10.0318;-0.867823;612
1536.12;1571.38;9.76736;-0.867823;613
1542.61;1563.72;10.0418;-0.867823;614
1549.21;1555.93;10.215;-0.867823;615
1555.67;1548.3;9.99571;-0.867823;616
1562.29;1540.49;10.2388;-0.867823;617
1563.48;1530.69;9.87267;-1.45069;618
1564.7;1520.53;10.2389;-1.45069;619
1565.91;1510.51;10.0837;-1.45069;620
1558.74;1502.82;10.5199;-2.32053;621
1551.77;1495.33;10.2337;-2.32053;622
1544.68;1487.71;10.4084;-2.32053;623
1537.8;1480.32;10.0976;-2.32053;624
1530.78;1472.79;10.2894;-2.32053;625
1521.75;1467.59;10.4201;-2.61927;626
1512.6;1462.32;10.5587;-2.61927;627
1503.88;1457.3;10.0641;-2.61927;628
1501.92;1447.26;10.2298;-1.76396;629
1499.98;1437.36;10.0846;-1.76396;630
1498.08;1427.63;9.91527;-1.76396;631
1496.24;1418.22;9.59386;-1.76396;632
1501.35;1410.11;9.59096;-1.00775;633
1506.63;1401.75;9.87809;-1.00775;634
1511.8;1393.56;9.69416;-1.00775;635
1516.72;1385.76;9.22205;-1.00775;636
1521.43;1378.3;8.81476;-1.00775;637
1526.1;1370.91;8.74844;-1.00775;638
1527.77;1362.24;8.82515;-1.38008;639
1529.47;1353.42;8.98002;-1.38008;640
1531.19;1344.56;9.02997;-1.38008;641
1532.87;1335.82;8.89588;-1.38008;642
1534.59;1326.94;9.04587;-1.38008;643
1536.34;1317.86;9.24712;-1.38008;644
1530.05;1311.38;9.03276;-2.34153;645
1523.83;1304.98;8.91927;-2.34153;646
1517.42;1298.38;9.19967;-2.34153;647
1513.71;1290.37;8.8287;-2.00443;648
